label,bandwidth,latency,rtt,jitter,ipa,win_incs,win_decs,retrans,outoforders
loss,0.08,0,0,0,0,0,0,0,0
cong,14.59,0.01,0.01,0,0,4,6,0,2
loss,0.07,152.86,611.45,305.73,0.61,0,1,0,0
cong,16.83,0.01,0.01,0,0,5,8,0,1
loss,0.08,203.88,815.52,407.76,0.2,1,0,0,0
cong,9.24,0.01,0.01,0,0.01,10,12,0,5
loss,0.09,0,0,0,0,1,0,0,0
loss,0.07,0.01,0.02,0.01,0,1,0,0,0
cong,16.17,0.01,0.01,0,0,5,4,0,2
cong,13.86,0.01,0.01,0,0,19,15,0,5
cong,15.39,0.01,0.01,0,0,7,11,0,4
loss,0.09,0,0,0,0,0,0,0,0
loss,0.08,0,0,0,0,1,0,0,0
loss,0.07,0,0.02,0.01,0,1,0,0,0
loss,0.08,0,0,0,0,1,0,0,0
loss,0.07,407.77,1631.1,815.55,1.43,0,0,0,0
loss,0.08,0,0,0,0.2,1,0,0,0
cong,16.1,0.01,0.01,0,0,4,7,0,0
loss,0.08,356.74,1426.95,713.48,0.2,0,0,0,0
cong,11.35,0.01,0.01,0,0.01,9,14,0,6
loss,0.08,82368.02,329472.07,164736.03,0,1,0,0,0
loss,0.07,156,623.99,312,0.62,0,0,0,0
loss,0.08,203.84,815.35,407.67,0,1,0,0,0
loss,0.07,1685.97,6743.87,3371.93,0.2,0,0,0,0
cong,13.53,0.01,0.01,0,0,13,22,0,10
loss,0.07,0,0.01,0.01,0,0,0,0,0
cong,13.46,0.01,0.01,0,0.01,11,20,0,9
loss,0.08,0,0,0,0,0,0,0,0
loss,0.08,0,0,0,0,0,0,0,0
cong,14.06,0.01,0.01,0,0.01,19,19,0,7
loss,0.09,0,0,0,0,0,0,0,0
loss,0.08,0,0,0,0,1,0,0,0
cong,14.12,0.01,0.01,0,0,14,15,0,7
cong,18.22,0.01,0.01,0,0,6,7,0,2
cong,31.09,0,0.01,0,0,7,9,0,1
loss,0.08,0,0,0,0,1,0,0,0
loss,0.09,0,0,0,0,1,0,0,0
cong,2.71,0.01,0.02,0,0.03,5,4,0,0
cong,11.68,0.01,0.01,0,0.01,16,15,0,4
cong,13.73,0.01,0.01,0,0.01,5,9,0,3
loss,0.09,0,0,0,0,1,0,0,0
cong,14.12,0.01,0.01,0,0,5,7,0,3
cong,13.79,0.01,0.01,0,0,7,11,0,4
cong,11.22,0.01,0.01,0,0.01,8,8,0,3
cong,12.13,0.05,0.1,0,0.01,26,53,0,2
cong,7.58,0.01,0.02,0,0.01,42,10,0,2
loss,0.07,50.84,203.38,101.69,0.2,0,1,0,0
loss,0.09,0,0,0,0,1,0,0,0
cong,12.01,0.01,0.01,0,0,10,13,0,6
cong,6.53,0.01,0.01,0,0.01,3,3,0,1
cong,17.37,0.02,0.04,0,0,8,72,0,5
loss,0.07,50.97,203.89,101.95,0,1,0,0,0
loss,0.08,0,0,0,0,0,0,0,0
cong,13.33,0.01,0.01,0,0.01,5,8,0,2
loss,0.08,0,0,0,0,0,0,0,0
cong,29.23,0.01,0.01,0,0,53,27,0,0
loss,0.07,203.92,815.69,407.85,0.2,0,0,0,0
loss,0.09,0,0,0,0,1,0,0,0
loss,0.08,356.88,1427.5,713.75,0.61,1,0,0,0
loss,0.08,2.93,11.72,5.86,0,0,0,0,0
cong,19.4,0.01,0.01,0,0,9,10,0,4
cong,5.02,0,0.01,0,0.01,3,5,0,1
loss,0.08,765,3060,1530,1.43,0,1,0,0
